,1196,,,,,,,,,,,,,,,,,,,,,,,,
,1206,,,,,,,,,,,,,,,,,,,,,,,,
,99.1708126,0.8291873964,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
No,Tutorial,Status,Content,Thumbnail,Product Link,Banner,Tracking,Publish Date,Need To Do,Revamp by,Description,Date,Category,View,Like,Authors,Type,Level,Store,Topic,Information,Link,Tag,Hardware,Remarks
1,You need Arduino?,DISABLE,FALSE,TRUE,TRUE,TRUE,FALSE,,,,Announcement of Cytron distributing Arduino boards in response to demand.,2010-07-29,education,1008,0,Ober,News,Not a project,"MY, SG, TH, VN, WWW",Arduino,TRUE,https://my.cytron.io/tutorial/you-need-arduino,"['Arduino', 'Duemilanove', 'Arduino Ecosystem']",,
2,All in One Super Charger!,UPDATED,TRUE,TRUE,TRUE,TRUE,FALSE,,,,"Introduction of a universal charger supporting LiPo, SLA, and more.",2010-10-21,education,1088,0,Ober,News,Not a project,"MY, SG, TH, VN, WWW",Electronic,TRUE,https://my.cytron.io/tutorial/all-in-one-super-charger,"['battery charger', 'Lipo', 'SLA', 'News']",,
3,An Arduino Room Monitoring Web Server,RE-EDIT,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,Build a web server using Arduino + Ethernet shield to monitor room conditions.,2011-07-27,education,3944,0,waiweng83,Tutorial,Intermediate,"MY, SG, TH, VN, WWW",Arduino,TRUE,https://my.cytron.io/tutorial/an-arduino-room-monitoring-web-server,"['Arduino', 'ethernet', 'web server', 'Arduino Ecosystem']",,
4.1,Getting Started with Arduino: From LED to Motor Control,DISABLE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,education,,,,Tutorial,Beginner,,Arduino,,,,,
4,PROJECT 1 - LED DICE,DISABLE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Create an electronic dice using LEDs with Arduino.,2011-08-12,education,1484,0,tonynwk88,Tutorial,Beginner,"MY, SG, TH, VN, WWW",Arduino,TRUE,https://my.cytron.io/tutorial/project-0-led-dice,"['Digital output of Arduino', 'LED', 'Arduino Ecosystem']",,
5,PROJECT 2 - LED CHASER,DISABLE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Implement LED chaser sequence on Arduino board.,2011-08-12,education,1148,0,tonynwk88,Tutorial,Beginner,"MY, SG, TH, VN, WWW",Arduino,TRUE,https://my.cytron.io/tutorial/project-3-led-chaser,"['Arduino LED control', 'Arduino Ecosystem']",,
6,PROJECT 3 - TEMPERATURE SENSOR TO LCD DISPLAY,DISABLE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Displaying LM35 sensor data on an LCD with Arduino.,2011-08-12,education,1268,0,tonynwk88,Tutorial,Beginner,"MY, SG, TH, VN, WWW",Arduino,TRUE,https://my.cytron.io/tutorial/project-6-temperature-sensor-to-lcd-display,"['Arduino', 'LCD', 'LM35 temperature sensor', 'Arduino Ecosystem']",,
7,PROJECT 4 - ANALOG DISTANCE SENSOR TO LCD DISPLAY,DISABLE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Use Sharp IR distance sensor to measure distance and display on LCD.,2011-08-13,education,1097,0,tonynwk88,Tutorial,Beginner,"MY, SG, TH, VN, WWW",Arduino,TRUE,https://my.cytron.io/tutorial/project-8-analog-distance-sensor-to-lcd-display,"['Arduino', 'sharp distance sensor', 'Infrared range finder', 'Distance on LCD', 'Arduino Ecosystem']",,
8,PROJECT 5 - LM35 CONTROL DC MOTOR SPEED,DISABLE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Control DC motor speed with LM35 temperature sensor and Arduino.,2011-08-13,education,2674,0,tonynwk88,Tutorial,Beginner,"MY, SG, TH, VN, WWW",Arduino,TRUE,https://my.cytron.io/tutorial/project-9-lm35-control-dc-motor-speed,"['LM35', 'temperature control', 'DC motor', '2A Motor Driver Shield', 'Arduino Ecosystem', 'Motor Driver']",,
9,PROJECT 6 - SERIAL COMMUNICATION CONTROL RC SERVO,DISABLE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Control RC servos via serial communication using Arduino.,2011-08-13,education,1804,0,tonynwk88,Tutorial,Beginner,"MY, SG, TH, VN, WWW",Arduino,TRUE,https://my.cytron.io/tutorial/project-10-serial-communication-control-rc-servo,"['RC servo', 'Arduino', 'Serial control', 'Arduino Ecosystem', 'Motor Driver']",,
10,PROJECT 7 - SERIAL COMMUNICATION CONTROL DC MOTOR,DISABLE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Tutorial on controlling DC motor via serial communication with Arduino.,2011-08-13,education,1254,0,tonynwk88,Tutorial,Beginner,"MY, SG, TH, VN, WWW",Arduino,TRUE,https://my.cytron.io/tutorial/project-12-serial-communication-control-dc-motor,"['motor', 'Arduino', 'Control', 'Serial', 'LM35 temperature sensor', '2A Motor Driver Shield', 'Arduino Ecosystem', 'Motor Driver']",,
