ID,Title,Description,Link,Summarize,Summarized Caption,Group/Channel,Mode,Date,Hour (24),Minute (60),Execute,Status,Scheduled At,Sent At,Category,Relevancy,,
1,Cytron Technologies as 3rd Party Microchip Training Center,Cytron Technologies Sdn. Bhd. has been appointed as 3rd Party Microchip Training Center in Malaysia...,https://my.cytron.io/tutorial/cytron-technologies-as-3rd-party-microchip-training-center,Off,,,,-,-,-,Off,,-,-,News/Articles,Disabled,,
2,Humanoid Project (Collaboration with UTM),Want to see Malaysia 1st Humanoid Robot? Here you are! Fully built in Malaysia by Malaysian!..,https://my.cytron.io/tutorial/humanoid-project-collaboration-with-utm,Off,,,,-,-,-,Off,,-,-,Robotics,Disabled,,
3,"ROBOCON Workshop at KKTM Balik Pulau, Penang","Another ROBOCON Workshop has been successfully conducted in KKTM (Kolej Kemahiran Tinggi Mara) Balik Pulau, Penang. They are first-timers in ROBOCON...",https://my.cytron.io/tutorial/robocon-workshop-at-kktm-balik-pulau-penang,Off,,,,-,-,-,Off,,-,-,News/Articles,Disabled,,-
4,Tips for lazy Engineer,How does a lazy guy solder SMD chip when he couldn't find a suitable SMD to DIP adapter and lazy to fabricate one? Of course one fastest way is to purchase one online. But what if he don't want to spe..,https://my.cytron.io/tutorial/no-medicine-to-cure-laziness,Off,,,,-,-,-,Off,,-,-,Tips & Tricks,Disabled,,
5,What would you get from Microchip RTC Workshop?,"Of course, the most important thing that you obtain is the knowledge that no one can take away from you. So besides those, what do you get from Microchip..",https://my.cytron.io/tutorial/what-would-you-get-from-microchip-rtc-workshop,Off,,,,-,-,-,Off,,-,-,News/Articles,Disabled,,
6,Cytron in Sin Chew Daily - 星洲日报！,"Yesterday is a surprise day for me! My colleague shows me Sin Chew Plus, there is a cartoon robot on the front page and a big title of ""Locally Produced Robot""..",https://my.cytron.io/tutorial/cytron-in-sin-chew-daily,Off,,,,-,-,-,Off,,-,-,Robotics,Disabled,,
7,"PIC Microcontroller Workshop at CIAST, Shah Alam","We just did another PIC Microcontroller Hands-on Workshop at CIAST, Shah Alam on 1st to 3rd July 2009. CIAST (Center For Instructor & Advanced Skill Training)..",https://my.cytron.io/tutorial/pic-microcontroller-workshop-at-ciast-shah-alam,Off,,,,-,-,-,Off,,-,-,News/Articles,Disabled,,
8,Cable tidy from an empty solder wick reel,....,https://my.cytron.io/tutorial/solder-wick-reel-cable-tidy,Off,,,,-,-,-,Off,,-,-,Tips & Tricks,Disabled,,
9,Microchip Embedded Designer's Forum '09,"On 3rd Nov 09, I went to KL for Microchip Embedded Designer's Forum at One World Hotel. Microchip has been organizing the EDF for several years...",https://my.cytron.io/tutorial/microchip-embedded-designers-forum-09,Off,,,,-,-,-,Off,,-,-,News/Articles,Disabled,,
10,"Now, We are on Robotshop!","Last month, we announced that Cytron will be on RobotShop soon. It is on now. You can now view our product at: http://www.robotshop.ca/cytron-technologies.html...",https://my.cytron.io/tutorial/now-we-are-on-robotshop,Off,,,,-,-,-,Off,,-,-,News/Articles,Disabled,,
11,SK40C with More Features yet Lower Price!,....,https://my.cytron.io/tutorial/sk40c-with-more-features-but-lower-price,Off,,,,-,-,-,Off,,-,-,News/Articles,Disabled,,
12,Exciting Paintball Competition at MURoC!,"For those that missed MURoC at UniMAP, I am sure you missed the excitement. Why? Because it is very fun, exciting as you are controlling robot to play paint ball for you, you wouldn’t be hurt by you....",https://my.cytron.io/tutorial/exciting-paintball-competition-at-muroc,Off,,,,-,-,-,Off,,-,-,News/Articles,Disabled,,
13,Enhanced USB ICSP Programmer for PIC Developer,....,https://my.cytron.io/tutorial/enhanced-usb-icsp-programmer-for-pic-developer,Off,,,,-,-,-,Off,,-,-,News/Articles,Disabled,,
14,Glimpse into the Packaging Process,....,https://my.cytron.io/tutorial/glimpse-into-the-packagaing-process,Off,,,,-,-,-,Off,,-,-,News/Articles,Disabled,,
15,Environmental friendly yet quality protection packaging,Although the conventional SC1 packaging is our most popular box but we always feel that it is a waste and harmful to our environment by having such a medium size box to pack a tiny product such as RE0..,https://my.cytron.io/tutorial/environmental-friendly-yet-quality-protection-packaging,Off,,,,-,-,-,Off,,-,-,News/Articles,Disabled,,
